employee_certification_id,employee_id,certification_id,issue_date,expiry_date,status,created_at,updated_at
1,1,4,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
2,1,3,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
3,1,1,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
4,2,6,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
5,3,6,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
6,3,3,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
7,5,4,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
8,5,6,2026-01-15,2028-01-15,Active,2026-07-26,2026-07-26
9,6,3,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
10,6,1,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
11,6,4,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
12,9,4,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
13,9,2,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
14,10,6,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
15,12,2,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
16,12,6,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
17,12,1,2026-01-15,2028-01-15,Active,2026-07-26,2026-07-26
18,13,2,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
19,13,5,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
20,14,2,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
21,14,5,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
22,15,3,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
23,17,3,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
24,17,5,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
25,17,2,2026-01-15,2028-01-15,Active,2026-07-26,2026-07-26
26,19,3,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
27,19,4,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
28,20,3,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
29,20,6,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
30,20,1,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
31,21,6,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
32,21,4,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
33,21,3,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
34,28,5,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
35,28,4,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
36,29,6,2026-01-15,2028-01-15,Active,2026-07-26,2026-07-26
37,29,2,2026-01-15,2028-01-15,Active,2026-07-26,2026-07-26
38,29,1,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
39,30,2,2026-01-15,2028-01-15,Active,2026-07-26,2026-07-26
40,30,5,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
41,31,2,2024-01-15,2026-01-15,Expired,2026-07-26,2026-07-26
42,31,1,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
43,33,5,2023-01-15,2025-01-15,Expired,2026-07-26,2026-07-26
44,34,1,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
45,34,4,2025-01-15,2027-01-15,Active,2026-07-26,2026-07-26
