employee_task_id,employee_id,task_id,status,completed_date
1,21,7,Pending,
2,21,8,Completed,
3,22,7,Completed,
4,22,8,Completed,
5,23,9,Completed,
6,23,10,Completed,
7,26,1,Pending,
8,26,2,Pending,
9,26,3,Completed,
10,28,11,Pending,
11,28,12,Pending,
12,29,7,Pending,
13,29,8,Completed,
14,30,7,Completed,
15,30,8,Pending,
16,31,1,Completed,
17,31,2,Completed,
18,31,3,Completed,
19,33,9,Completed,
20,33,10,Completed,
21,34,7,Completed,
22,34,8,Completed,
23,35,11,Pending,
24,35,12,Completed,
25,37,4,Pending,
26,37,5,Pending,
27,37,6,Completed,
28,39,1,Completed,
29,39,2,Completed,
30,39,3,Pending,
31,40,7,Completed,
32,40,8,Completed,
33,42,11,Completed,
34,42,12,Pending,
35,43,1,Pending,
36,43,2,Completed,
37,43,3,Completed,
38,44,1,Pending,
39,44,2,Pending,
40,44,3,Pending,
41,46,7,Completed,
42,46,8,Pending,
43,47,1,Pending,
44,47,2,Pending,
45,47,3,Pending,
46,48,4,Completed,
47,48,5,Completed,
48,48,6,Pending,
49,49,9,Completed,
50,49,10,Completed,
51,50,4,Completed,
52,50,5,Completed,
53,50,6,Pending,
54,51,4,Pending,
55,51,5,Completed,
56,51,6,Completed,
57,54,11,Pending,
58,54,12,Pending,
59,55,9,Completed,
60,55,10,Pending,
61,57,4,Completed,
62,57,5,Pending,
63,57,6,Completed,
64,58,4,Pending,
65,58,5,Pending,
66,58,6,Completed,
67,60,7,Pending,
68,60,8,Pending,
69,61,7,Pending,
70,61,8,Pending,
71,62,11,Completed,
72,62,12,Completed,
73,64,9,Completed,
74,64,10,Completed,
75,65,9,Pending,
76,65,10,Pending,
77,67,9,Pending,
78,67,10,Pending,
79,69,1,Pending,
80,69,2,Completed,
81,69,3,Completed,
82,70,4,Completed,
83,70,5,Pending,
84,70,6,Completed,
85,71,7,Pending,
86,71,8,Pending,
87,74,9,Completed,
88,74,10,Pending,
89,75,9,Completed,
90,75,10,Pending,
91,76,1,Completed,
92,76,2,Completed,
93,76,3,Pending,
94,81,11,Completed,
95,81,12,Completed,
96,82,4,Pending,
97,82,5,Pending,
98,82,6,Pending,
99,83,1,Completed,
