offer_id,candidate_id,offer_date,accepted,hire_date
1,1703,2023-11-21,True,2023-12-05
2,1462,2024-10-04,True,2024-10-18
3,1867,2023-02-10,True,2023-02-24
4,1349,2026-02-07,True,2026-02-21
5,2827,2024-11-30,True,2024-12-14
6,300,2024-11-09,True,2024-11-23
7,2911,2023-05-15,False,
8,2458,2023-11-14,True,2023-11-28
9,358,2026-10-27,True,2026-11-10
10,2944,2023-05-29,True,2023-06-12
11,1738,2024-06-17,True,2024-07-01
12,1358,2025-02-01,False,
13,252,2026-04-08,True,2026-04-22
14,2629,2024-01-19,False,
15,1805,2026-01-21,True,2026-02-04
16,1668,2025-07-19,True,2025-08-02
17,1736,2024-05-12,False,
18,2525,2025-02-26,False,
19,1138,2026-02-12,True,2026-02-26
20,1212,2024-09-16,True,2024-09-30
21,2997,2026-05-20,True,2026-06-03
22,928,2023-07-31,True,2023-08-14
23,3063,2025-01-11,False,
24,111,2025-05-04,False,
25,3306,2026-05-04,True,2026-05-18
26,1750,2025-08-22,False,
27,2010,2026-05-08,True,2026-05-22
28,489,2026-02-12,True,2026-02-26
29,2214,2023-02-15,True,2023-03-01
30,1886,2024-05-21,False,
31,3376,2024-10-11,True,2024-10-25
32,2021,2024-01-07,False,
33,1275,2026-12-03,True,2026-12-17
34,1868,2024-11-12,True,2024-11-26
35,3411,2024-03-02,True,2024-03-16
36,1425,2025-05-03,True,2025-05-17
37,179,2026-06-23,True,2026-07-07
38,2914,2023-06-14,True,2023-06-28
39,1897,2025-05-05,False,
40,2184,2024-12-14,False,
41,2721,2023-07-09,True,2023-07-23
42,239,2025-10-05,False,
43,2088,2023-06-04,True,2023-06-18
44,925,2025-05-28,False,
45,3202,2026-11-24,False,
46,1155,2023-08-15,True,2023-08-29
47,1924,2023-04-06,False,
48,1593,2023-11-16,False,
49,2151,2024-11-02,False,
50,2760,2026-03-04,True,2026-03-18
51,2826,2024-10-15,True,2024-10-29
52,1348,2023-09-26,False,
53,1332,2024-04-07,True,2024-04-21
54,1450,2023-01-02,True,2023-01-16
55,2639,2026-07-02,False,
56,565,2026-07-16,False,
57,2641,2024-03-07,True,2024-03-21
58,1499,2025-11-02,False,
59,801,2026-01-22,False,
60,3088,2023-12-31,True,2024-01-14
61,892,2023-08-21,True,2023-09-04
