чека;Дата;Час;Товар;Кількість;Сума;Спосіб платежу;Покупець;Собівартість,,
100000010;8-22-2022;0,446296296;T-shirt type 1, Reebok;1;309.68;cash;ПІБ 537;158
100000010;8-22-2022;0,446296296;Shoes type 4, Reebok;1;6167.26;cash;ПІБ 537;3298
100000012;3-8-2024;0,657951389;Cap type 5, Adidas;1;261.4194;cash;;163
100000012;3-8-2024;0,657951389;Shirt type 6, Reebok;1;699.6;cash;;330
100000013;11-10-2022;0,843703704;Cap type 5, Nike;1;454.336;non-cash;;229
100000018;5-12-2023;0,540821759;T-shirt type 1, Reebok;2;378.4;cash;;176
100000018;5-12-2023;0,540821759;Cap type 2, Reebok;1;161.007;cash;;105
100000024;3-9-2023;0,458541667;Запонка тип 5, Puma;1;250.88;cash;;140
100000030;7-21-2022;0,834259259;T-shirt type 4, Puma;1;297.344;cash;;184
100000077;6-28-2024;0,603344907;Tights type 3, Adidas;2;933.72;non-cash;;502
100000081;4-4-2023;0,549085648;Tights type 2, Nike;2;538.0;cash;;250
100000081;4-4-2023;0,549085648;T-shirt type 4, Nike;1;594.336;cash;;246
100000081;4-4-2023;0,549085648;Pants type 6, Nike;1;2298.168;cash;;1062
100000081;4-4-2023;0,549085648;Pants type 12, Reebok;2;1085.64;cash;;498
100000081;4-4-2023;0,549085648;T-shirt type 4, Adidas;1;290.88;cash;;144
100000083;1-13-2023;0,745150463;Колготки тип 1, Adidas;1;787.5;non-cash;;375
100000083;1-13-2023;0,745150463;Shirt type 7, Reebok;1;1310.26;non-cash;;686
100000083;1-13-2023;0,745150463;Shirt type 8, Puma;1;475.2;non-cash;;264
100000083;1-13-2023;0,745150463;Tights type 6, Nike;1;509.694;non-cash;;255
100000083;1-13-2023;0,745150463;Flip flops type 2, Adidas;1;691.9308;non-cash;;346
100000085;11-13-2022;0,547037037;Boots type 1, Adidas;1;7293.79;non-cash;;3593
100000086;10-17-2022;0,699594907;Рубашка тип 2, Nike;1;1951.232;cash;ПІБ 504;824
100000105;2-16-2024;0,491886574;Pants type 2, Puma;1;917.9456;cash;;590
100000105;2-16-2024;0,491886574;Pants type 4, Puma;1;1463.048;cash;;919
100000105;2-16-2024;0,491886574;Pants type 2, Reebok;1;335.49;cash;;159
100000105;2-16-2024;0,491886574;Type 3 shirt, Nike;1;1424.53352;cash;;821
100000105;2-16-2024;0,491886574;Flip flops type 2, Adidas;1;580.1036;cash;;346
100000105;2-16-2024;0,491886574;Tights type 1, Puma;2;430.992;cash;;246
100000105;2-16-2024;0,491886574;Pants type 2, Nike;1;1406.532;cash;;597
100000110;3-3-2024;0,503796296;Кроссовки тип 3, Adidas;1;3241.26;cash;;1637
