№ чека;Дата;Час;Товар;Кількість;Сума;Спосіб платежу;Покупець;Собівартість
100000008;7-12-2024;0,711469907;T-shirt type 5, Puma;1;247.976;cash;;139
100000008;7-12-2024;0,711469907;Cap type 1, Puma;1;237.984;cash;;134
100000008;7-12-2024;0,711469907;Cap type 2, Puma;1;314.64;cash;;190
100000016;2-12-2023;0,632766204;Tights type 5, Nike;1;456.2856;non-cash;ПІБ 450;254
100000020;2-23-2024;0,514236111;Cap type 8, Adidas;1;326.8;cash;;152
100000052;7-5-2024;0,845069444;Pants type 2, Nike;2;2813.064;non-cash;;1194
100000052;7-5-2024;0,845069444;Shoes type 2, Nike;1;3185.73024;non-cash;;1562
100000052;7-5-2024;0,845069444;Belt type 3, Nike;1;469.264;non-cash;;211
100000052;7-5-2024;0,845069444;Cap type 3, Adidas;1;342.189;non-cash;;197
100000052;7-5-2024;0,845069444;T-shirt type 1, Adidas;1;423.108;non-cash;;219
100000084;8-20-2022;0,489490741;Pants type 5, Reebok;1;1972.846;non-cash;ПІБ 1149;1076
100000084;8-20-2022;0,489490741;Boots type 5, Reebok;1;5673.87;non-cash;ПІБ 1149;2741
100000099;10-8-2023;0,792627315;Cap type 1, Reebok;1;495.55;cash;;265
100000099;10-8-2023;0,792627315;Cap type 2, Nike;2;1083.32;cash;;530
100000099;10-8-2023;0,792627315;Cap type 2, Puma;2;760.32;cash;;440
100000099;10-8-2023;0,792627315;Belt type 4, Nike;1;522.39536;cash;;283
100000099;10-8-2023;0,792627315;Shirt type 12, Nike;1;974.028;cash;;471
100000108;6-2-2023;0,703587963;Sneakers type 2, Reebok;1;1244.0064;cash;ПІБ 1031;712
100000111;11-15-2023;0,716342593;T-shirt type 7, Nike;1;869.584;non-cash;;391
100000126;11-6-2023;0,669016204;T-shirt type 3, Adidas;1;542.2536;cash;ПІБ 437;318
100000126;11-6-2023;0,669016204;Cap type 3, Puma;1;388.44;cash;ПІБ 437;249
100000126;11-6-2023;0,669016204;Tights type 7, Puma;1;537.472;cash;ПІБ 437;320
100000126;11-6-2023;0,669016204;T-shirt type 2, Adidas;1;310.8;cash;ПІБ 437;168
100000131;7-12-2023;0,395706019;Belt type 4, Nike;2;1258.784;cash;;566
100000131;7-12-2023;0,395706019;T-shirt type 1, Adidas;1;459.9;cash;;219
100000131;7-12-2023;0,395706019;Tights type 2, Adidas;1;89.2416;cash;;56
100000131;7-12-2023;0,395706019;Belt type 1, Puma;1;310.184;cash;;191
100000135;7-17-2022;0,615578704;Tights type 2, Adidas;1;107.52;non-cash;;56
100000135;7-17-2022;0,615578704;Shoes type 2, Nike;2;6599.01264;non-cash;;3124
100000135;7-17-2022;0,615578704;Boots type 4, Adidas;1;7128.99;non-cash;;3411
100000135;7-17-2022;0,615578704;T-shirt type 7, Nike;1;800.01728;non-cash;;391
100000135;7-17-2022;0,615578704;Pants type 7, Puma;1;482.232;non-cash;;283
100000135;7-17-2022;0,615578704;Cufflink type 2, Nike;1;231.544;non-cash;;103
100000152;9-14-2024;0,69275463;Belt type 1, Puma;1;310.184;non-cash;;191
100000160;1-28-2024;0,505405093;Cufflink type 3, Nike;1;782.6;cash;;350
100000160;1-28-2024;0,505405093;T-shirt type 2, Reebok;1;452.6522;cash;;247
100000170;7-29-2022;0,676770833;Boots type 6, Puma;1;2144.936;non-cash;ПІБ 318;1361
100000170;7-29-2022;0,676770833;Sneakers type 2, Puma;2;3158.112;non-cash;ПІБ 318;1964
100000170;7-29-2022;0,676770833;Sneakers type 6, Adidas;1;2545.92;non-cash;ПІБ 318;1224
100000170;7-29-2022;0,676770833;Belt type 2, Adidas;1;325.95;non-cash;ПІБ 318;159
100000170;7-29-2022;0,676770833;Tights type 7, Adidas;1;789.0696;non-cash;ПІБ 318;369
100000170;7-29-2022;0,676770833;Cufflink type 6, Reebok;1;413.27;non-cash;ПІБ 318;221
100000204;3-14-2022;0,75193287;Shirt type 8, Nike;2;2181.57168;non-cash;;1084
100000232;6-7-2023;0,462372685;Cufflink type 4, Reebok;1;821.24;cash;;419
100000232;6-7-2023;0,462372685;Pants type 7, Puma;1;482.232;cash;;283
100000239;4-30-2023;0,520763889;Boots type 6, Nike;1;4648.06608;cash;;2279
100000239;4-30-2023;0,520763889;Sneakers type 6, Nike;1;4035.2232;cash;;1923
100000245;11-23-2023;0,68037037;T-shirt type 1, Reebok;1;309.68;cash;;158
100000248;7-12-2024;0,844780093;T-shirt type 3, Nike;1;492.2;cash;ПІБ 421;230
100000248;7-12-2024;0,844780093;T-shirt type 1, Reebok;1;309.68;cash;ПІБ 421;158
100000256;12-28-2023;0,474293981;Flip flops type 1, Adidas;1;391.95;cash;;195
